NO,共通ID,施設・場所名,住所,指定緊急避難場所との住所同一,その他市町村長が必要と認める事項,受入対象者,緯度,経度,備考
1,E1720900050121,かほく市宇ノ気保健福祉センター,石川県かほく市宇野気ニ71-2,,,妊産婦及びその家族,36.719421,136.706215,
2,E1720900003111,宇ノ気小学校,石川県かほく市宇野気リ147,1,,,36.719725956735,136.70405710809,
3,E1720900007111,河北台中学校,石川県かほく市遠塚ロ47-1,1,,,36.73479373537,136.70312420319,
4,E1720900049121,かほく市七塚健康福祉センター,石川県かほく市遠塚ロ52-10,,,妊産婦及びその家族,36.73477,136.700625,
5,E1720900014111,大海小学校,石川県かほく市夏栗ロ10,1,,,36.778579735518,136.74758318225,
6,E1720900015111,外日角小学校,石川県かほく市外日角ニ52,1,,,36.723647846112,136.69186184095,
7,E1720900016121,石川県立看護大学,石川県かほく市学園台1-1,,,妊産婦及びその家族,36.7808508065799,136.733821094946,
8,E1720900017121,社会福祉法人芙蓉会,石川県かほく市学園台5-19-1,,高齢者・要介護認定者及びその介助者となる家族1名,高齢者・要介護認定者及びその介助者となる家族1名,36.77976795883,136.73045003743,
9,E1720900021111,高松小学校,石川県かほく市高松ヤ10,1,,,36.769075447786,136.71929516708,
10,E1720900022111,高松中学校,石川県かほく市高松ヤ42,1,,,36.767294200191,136.72103544555,
11,E1720900024121,社会福祉法人四恩会ライフクリエートかほく,石川県かほく市七窪ハ7-1,,障がい者及びその介助者となる家族,障がい者及びその介助者となる家族,36.723505780501,136.7094130615,
12,E1720900026121,社会福祉法人眉丈会,石川県かほく市秋浜へ20-1-2,,障がい者、障がい児及びその介助者となる家族、保護者,障がい者、障がい児及びその介助者となる家族、保護者,36.72837136685,136.69275491499,
13,E1720900028111,宇ノ気中学校,石川県かほく市森レ1,1,,,36.723278909888,136.70656126125,
14,E1720900034111,金津小学校,石川県かほく市谷カ30,1,,,36.741566040667,136.72529581125,
15,E1720900039121,社会福祉法人白千鳥会,石川県かほく市内高松ヤ36,,障がい者及びその介助者となる家族,障がい者及びその介助者となる家族,36.763956348076,136.73745460524,
16,E1720900048121,社会福祉法人相生会,石川県かほく市白尾タ220,,,高齢者・要介護認定者及びその介護者となる家族,36.717666,136.696022,
17,E1720900047111,七塚小学校,石川県かほく市木津ホ61-1,1,,,36.747906142761,136.70173985234,
18,E1720700002111,粟ノ保小学校,石川県羽咋市粟生町キ1-2,1,,,36.880648040343,136.7781414121,
19,E1720700003111,一ノ宮公民館,石川県羽咋市一ノ宮町レ86-1,1,,,36.924721049061,136.76275262153,
20,E1720700004111,西北台保育所,石川県羽咋市一ノ宮町伊9-3,,,,36.936876542947,136.76105112116,
21,E1720700006111,羽松高校,石川県羽咋市吉崎町ラ1-2,1,,,36.89787908461,136.79335898615,
22,E1720700009111,鹿島路公民館,石川県羽咋市鹿島路町1788,,,,36.935339501277,136.81241231334,
23,E1720700011111,国立能登青少年交流の家,石川県羽咋市柴垣町14-5-6,1,,,36.935054033088,136.76964256503,
24,E1720700012111,上甘田公民館,石川県羽咋市柴垣町３６字19-1,1,,,36.952939302809,136.76627707101,
25,E1720700013111,富永公民館,石川県羽咋市深江町ト108,,,,36.902877615168,136.80156916424,
26,E1720700014111,瑞穂小学校,石川県羽咋市深江町ル61-1,1,,,36.902676246461,136.80044476476,
27,E1720700015111,神子原公民館,石川県羽咋市神子原町チ18,,,,36.883979106784,136.8621278192,
28,E1720700016111,神子原スポーツセンター,石川県羽咋市神子原町チ22,1,,,36.884214455386,136.8618352752,
29,E1720700017111,羽咋工業高校,石川県羽咋市西釜屋町ク21,1,,,36.908384053372,136.77507895134,
30,E1720700018111,勤労者総合福祉センター,石川県羽咋市千里浜町カ1-20,,,,36.885407703368,136.77088235229,
31,E1720700020111,千里浜児童センター,石川県羽咋市千里浜町タ118-2,,,,36.892044246089,136.77042010689,
32,E1720700022111,千里浜公民館,石川県羽咋市千里浜町ハ140-2,,,,36.89502393793,136.77131217082,
33,E1720700023111,千里浜保育所,石川県羽咋市千里浜町ロ39-1,,,,36.894441975155,136.77307359554,
34,E1720700024111,とき保育園,石川県羽咋市千路町は10,,,,36.927175253967,136.80504744066,
35,E1720700025111,越路野公民館,石川県羽咋市千路町も30,,,,36.924496575519,136.79329127198,
36,E1720700047111,ＬＡＫＵＮＡはくい,石川県羽咋市川原町テ43,,,,36.894939,136.782349,
37,E1720700029111,余喜公民館（よき交流センター）,石川県羽咋市大町コ部42,1,,,36.93279604071,136.84603113432,
38,E1720700030111,西北台小学校,石川県羽咋市滝町ケ14-2,1,,,36.935188618637,136.76250768045,
39,E1720700031112,羽咋中学校,石川県羽咋市中央町キ59,1,,,36.891497933744,136.77545673745,
40,E1720700031111,羽咋市民体育館,石川県羽咋市中央町キ59,1,,,36.891902709237,136.77643235165,
41,E1720700032111,羽咋小学校,石川県羽咋市中央町サ90,1,,,36.894076403656,136.77534675977,
42,E1720700033111,羽咋公民館,石川県羽咋市中央町フ169-2,1,,,36.896980180062,136.77532209584,
43,E1720700035113,羽咋体育館,石川県羽咋市鶴多町亀田17,1,,,36.898343529373,136.79031812055,
44,E1720700035111,老人福祉センター,石川県羽咋市鶴多町亀田17,1,,,36.89859234525,136.79377817017,
45,E1720700035112,羽咋すこやかセンター,石川県羽咋市鶴多町亀田17,1,,,36.898090422734,136.79132663113,
46,E1720700036111,羽咋市武道館,石川県羽咋市鶴多町鶴多田12,,,,36.898781101582,136.79000161988,
47,E1720700037111,コスモアイル羽咋,石川県羽咋市鶴多町免田25,1,,,36.898359334556,136.78818042712,
48,E1720700038111,こすもす保育園,石川県羽咋市東的場町古川田15-1,,,,36.898204853891,136.78692105677,
49,E1720700039111,邑知保育園,石川県羽咋市飯山町ト8-1,,,,36.902246671497,136.82482625385,
50,E1720700040111,邑知中学校,石川県羽咋市飯山町ホ57,1,,,36.905905039369,136.83015088128,
51,E1720700041111,邑知公民館（邑知ふれあいセンター）,石川県羽咋市飯山町ル78-1,,,,36.902066861146,136.82802110953,
52,E1720700042111,邑知小学校,石川県羽咋市飯山町ロ20,1,,,36.900281314091,136.82299742277,
53,E1720700044111,粟ノ保放課後児童クラブ（粟ノ保公民館）,石川県羽咋市兵庫町タ56-1,,,,36.882282138434,136.77899853575,
54,E1720700045111,羽咋高等学校,石川県羽咋市柳橋町1,1,,,36.893496762588,136.78925788857,
55,E1720600001111,加賀市立塩屋地区会館,石川県加賀市塩屋町イ29-1,,,,36.29466484944,136.25302349438,
56,E1720600002111,加賀市立金明小学校,石川県加賀市塩浜町104,1,,,36.350195080714,136.33380459832,
57,E1720600003111,加賀市立金明地区会館,石川県加賀市塩浜町105,,,,36.350076602931,136.33448833118,
58,E1720600004111,加賀市立南郷地区会館,石川県加賀市下河崎町ヘ102,,,,36.30736630144,136.33341845595,
59,E1720600005111,加賀市立南郷小学校,石川県加賀市吸坂町ヤ26,1,,,36.30421427096,136.33771556258,
60,E1720600006111,加賀市立橋立地区会館,石川県加賀市橋立町ロ357,,,,36.350815429392,136.31137804175,
61,E1720600008111,石川県立大聖寺実業高等学校,石川県加賀市熊坂町ヲ77,1,,,36.298244637422,136.3045972474,
62,E1720600009111,旧加賀市立黒崎小学校,石川県加賀市黒崎町め23,1,,,36.335131076247,136.29545578122,
63,E1720600010111,加賀市立作見小学校,石川県加賀市作見町ナ154,1,,,36.323547067751,136.35385213463,
